Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43780,70.0,E ,3.0,2.0,73.0,8.8,33.8,25.0,29.7,0.0
43781,260.0,C ,2.0,1.0,77.0,8.0,33.8,25.0,28.8,
43782,190.0,S ,4.0,2.0,76.0,1.7,33.3,25.0,28.8,8.5
43783,50.0,C ,5.0,2.0,78.0,1.6,30.1,26.0,27.7,
43784,90.0,E ,3.0,2.0,70.0,0.0,34.5,22.0,30.1,
43785,110.0,E ,3.0,2.0,68.0,7.9,35.5,25.0,29.9,8888.0
43786,50.0,E ,5.0,2.0,69.0,10.8,35.2,,30.0,0.0
43787,50.0,E ,3.0,2.0,68.0,10.2,36.5,25.0,30.6,
43788,40.0,E ,4.0,2.0,72.0,7.7,34.2,25.0,29.6,0.0
43789,140.0,C ,2.0,1.0,72.0,10.2,34.4,25.0,29.6,
43790,100.0,C ,3.0,2.0,77.0,7.5,33.4,25.0,28.5,0.0
43791,230.0,C ,4.0,1.0,80.0,4.8,33.2,25.0,28.1,8888.0
43792,270.0,C ,4.0,2.0,74.0,2.3,33.2,25.0,29.1,0.2
43793,320.0,C ,3.0,1.0,72.0,2.4,34.2,25.0,29.7,8888.0
43794,110.0,C ,3.0,1.0,73.0,5.6,33.4,26.0,29.2,0.0
43795,120.0,C ,3.0,1.0,83.0,4.2,32.4,25.0,27.7,0.2
